area,group,special
2009,2407.0,0
2009,904.5,0
2009,1798.13,0
2009,1542.19,0
2009,1784.61,0
2009,1546.59,0
2009,1824.19,0
2009,1567.5,0
2009,1530.31,0
2009,1494.45,0
2009,1482.63,0
2009,1652.34,0
2009,261.56,0
2009,775.8,0
2009,708.13,0
2009,1232.44,0
2009,1035.94,0
2009,1054.5,0
2009,354.25,0
2009,1225.5,0
2009,622.13,0
2009,319.38,0
2009,1109.94,0
2009,453.38,0
2009,522.5,0
2009,543.01,0
2009,1139.5,0
2009,385.0,0
2009,1298.13,0
2009,540.0,0
2007,672.0,0
2010,284.0,0
2007,42.59,0
2005,117.76,0
2005,124.03,0
2005,118.22,0
2005,14.32,0
2009,8.94,0
1993,253.13,0
1993,903.0,0
1993,1239.06,0
1969,856.52,421
1969,870.76,421
1969,397.5,421
2009,870.02,421
2009,864.76,421
2009,1160.28,224
2009,864.0,421
2009,849.0,421
2009,864.0,421
2009,859.5,421
2009,864.0,421
2009,864.0,421
2009,867.0,421
2009,865.47,421
2009,859.5,421
2009,867.0,421
2009,871.52,421
2009,868.5,421
2009,860.28,421
2009,864.0,421
2009,859.5,421
2009,859.5,421
2009,861.77,421
2009,857.23,421
2009,854.26,421
2009,867.0,421
2009,869.24,421
2009,876.03,421
2009,867.0,421
2009,864.0,421
2009,866.23,421
2009,859.5,421
2009,864.0,421
2009,864.0,421
2009,865.51,421
2009,865.51,421
2009,864.0,421
2009,864.0,421
2009,863.28,421
2009,858.02,421
2009,871.52,421
2009,868.5,421
2009,861.77,421
2009,864.0,421
2009,864.0,421
2009,866.23,421
2009,888.13,421
2009,870.0,421
2009,873.04,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,868.5,421
2009,862.48,421
2009,867.0,421
2009,864.0,421
2009,864.0,421
2009,859.5,421
2009,903.13,421
2009,867.0,421
2009,864.0,421
2009,864.0,421
2009,867.0,421
2009,864.0,421
2009,864.0,421
2009,871.52,421
2009,864.0,421
2009,864.0,421
2009,873.79,421
2009,867.0,421
2009,867.0,421
2009,864.0,421
2009,867.0,421
2009,864.0,421
2009,867.0,421
2009,864.0,421
2009,868.5,421
2009,867.0,421
2009,864.0,421
2009,859.5,421
2009,864.0,421
2009,858.02,421
2009,855.0,421
2009,864.0,421
2009,864.0,421
2009,870.0,421
2009,871.52,421
2009,859.5,421
2009,864.0,421
2009,880.57,421
2009,876.82,421
2009,876.03,421
2009,874.53,421
2009,1040.39,421
2009,1022.64,421
2009,1133.69,421
2009,1127.77,421
2009,864.0,421
2009,1130.66,421
2009,1124.83,421
2009,1130.66,421
2009,870.0,421
2009,888.13,421
2009,1061.5,421
2009,1133.88,421
2009,1382.25,421
2009,862.51,421
2009,1139.75,421
2009,1091.25,421
2009,988.19,421
2009,876.0,421
2009,870.0,421
2009,858.0,421
2009,994.25,421
2009,903.31,421
2009,864.0,421
2009,867.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,864.0,421
2009,895.5,421
2009,864.0,421
2009,864.0,421
